id,word,explanation,due,memory_state,scheduled_days,last_review
41,不安,,2025-11-17T01:54:13.622514+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:54:13.622514+00:00
42,予測,,2025-11-17T01:48:49.078355+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:48:49.078355+00:00
43,数人,,2025-11-17T01:40:59.390581+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:40:59.390581+00:00
44,穏やか,,2025-11-17T01:47:43.822645+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:47:43.822645+00:00
45,機器,,2025-11-17T01:30:15.230246+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:30:15.230246+00:00
46,用心,,2026-01-08T05:12:49.410081+00:00,"{""stability"": 198.0218, ""difficulty"": 3.6184807}",198,2025-06-24T05:12:49.410081+00:00
47,こっそり,偷偷地,2026-01-08T05:11:37.659120+00:00,"{""stability"": 198.0218, ""difficulty"": 3.6184807}",198,2025-06-24T05:11:37.659120+00:00
48,高級,,2025-11-17T01:54:54.721107+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:54:54.721107+00:00
49,看板,,2025-11-17T01:44:05.223289+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:44:05.223289+00:00
50,抜く,拔掉/超出,2025-11-17T01:51:48.787563+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:51:48.787563+00:00
51,ほっべた,,2025-11-17T02:05:28.999077+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T02:05:28.999077+00:00
52,ミリ,,2025-11-17T01:47:11.577522+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:47:11.577522+00:00
53,酌む,酌/斟酌,2025-11-17T01:27:37.095179+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:27:37.095179+00:00
54,協力,,2025-11-17T01:33:42.989075+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:33:42.989075+00:00
55,天候,,2027-01-09T06:23:14.190678+00:00,"{""stability"": 513.1157, ""difficulty"": 2.1301212}",513,2025-08-14T06:23:14.190678+00:00
56,飽きる,厌倦,2025-11-17T01:30:19.713203+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:30:19.713203+00:00
57,嫁,,2026-01-08T05:10:36.433542+00:00,"{""stability"": 198.0218, ""difficulty"": 3.6184807}",198,2025-06-24T05:10:36.433542+00:00
58,値上がり,涨价,2025-11-13T01:16:37.618187+00:00,"{""stability"": 143.21254, ""difficulty"": 5.2124}",143,2025-06-23T01:16:37.618187+00:00
59,固い,顽固的,2026-01-08T05:12:18.020992+00:00,"{""stability"": 198.0218, ""difficulty"": 3.6184807}",198,2025-06-24T05:12:18.020992+00:00
60,バイキング,,2025-11-17T01:43:18.230958+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:43:18.230958+00:00
61,食費,,2025-11-17T01:33:46.407834+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:33:46.407834+00:00
